"institution_id","institution_name","country","country_code","latitude","longitude","type","qs_ranking_2024","region","research_output_score"
"I4210093000","Global Energy Interconnection Research Institute North America","United States","US","37.33938980102539","-121.89495849609376","facility","","North America","39.2"
"I122328836","Indian School of Business","India","IN","17.43566131591797","78.34072875976562","education","100.0","Asia","100.0"
"I4210165411","Centro de Investigaciones Energéticas, Medioambientales y Tecnológicas","Spain","ES","40.416500091552734","-3.702559947967529","facility","100.0","Europe","100.0"
"I4210098463","Center for Research and Interdisciplinarity","France","FR","48.85340881347656","2.34879994392395","facility","100.0","Europe","100.0"
"I154986956","European Centre for Medium-Range Weather Forecasts","United Kingdom","GB","51.45624923706055","-0.9711300134658812","other","100.0","Europe","100.0"
"I4210118731","National Observatory of Athens","Greece","GR","37.98376083374024","23.727840423583984","facility","100.0","Europe","100.0"
"I153297377","Medical University of South Carolina","United States","US","32.77656936645508","-79.93092346191406","education","100.0","North America","100.0"
"I2802326326","The University of Texas Rio Grande Valley","United States","US","26.301740646362305","-98.16333770751952","education","100.0","North America","100.0"
"I4210155268","Salesforce (United States)","United States","US","37.77492904663086","-122.41941833496094","company","325.0","North America","90.82"
"I82828225","King Mongkut's University of Technology North Bangkok","Thailand","TH","13.819555282592772","100.51480865478516","education","100.0","Asia","100.0"
"I4210130157","Institute of Informatics and Telematics","Italy","IT","43.718841552734375","10.425210952758787","facility","100.0","Europe","100.0"
"I916559398","Kindai University","Japan","JP","34.69374084472656","135.50218200683594","education","100.0","Asia","100.0"
"I4210103661","Max Planck Institute for Astrophysics","Germany","DE","48.24895858764648","11.651009559631348","facility","100.0","Europe","100.0"
"I103531236","Boston College","United States","US","42.358428955078125","-71.05976867675781","education","100.0","North America","100.0"
"I4210106682","Saku Central Hospital","Japan","JP","36.19804382324219","138.480712890625","healthcare","566.0","Asia","82.99"
"I4210126829","China Medical University Hospital","Taiwan","TW","24.157007217407227","120.68099975585938","healthcare","100.0","Asia","100.0"
"I4210105683","Universidade Regional de Blumenau","Brazil","BR","-26.9194393157959","-49.06610870361328","education","100.0","South America","100.0"
"I109935558","Ningbo University","China","CN","29.878189086914062","121.54945373535156","education","100.0","Asia","100.0"
"I110736937","Délégation Paris 5","France","FR","48.85340881347656","2.34879994392395","government","100.0","Europe","100.0"
"I4210114319","Farabi Hospital","Iran","IR","35.69438934326172","51.4215087890625","healthcare","100.0","Asia","100.0"
"I4210146936","Huawei Technologies (United States)","United States","US","33.07090377807617","-96.82003021240234","company","100.0","North America","100.0"
"I52957644","Mexican Institute of Petroleum","Mexico","MX","19.428470611572266","-99.1276626586914","government","100.0","North America","100.0"
"I79072001","International University of Health and Welfare","Japan","JP","36.871002197265625","140.06947326660156","education","100.0","Asia","100.0"
"I1337163019","Adler Planetarium","United States","US","41.867469787597656","-87.60687255859375","archive","732.0","North America","77.97"
"I152869788","Motilal Nehru National Institute of Technology","India","IN","25.444780349731445","81.84322357177734","education","100.0","Asia","100.0"
"I74969885","Southern University","Bangladesh","BD","22.35785675048828","91.82504272460938","education","","Asia","58.16"
"I1300848581","American Nurses Association","United States","US","38.99512481689453","-77.02681732177734","other","","North America","66.65"
"I196972281","Imec the Netherlands","Netherlands","NL","51.44083023071289","5.477779865264893","facility","100.0","Europe","100.0"
"I1331897569","Agriculture and Agri-Food Canada","Canada","CA","45.411170959472656","-75.6981201171875","government","100.0","North America","100.0"
"I181391015","Universidade Estadual de Campinas (UNICAMP)","Brazil","BR","-22.90555953979492","-47.060829162597656","education","100.0","South America","100.0"
"I46603895","Varian Medical Systems (United States)","United States","US","37.4177131652832","-122.14321899414062","company","100.0","North America","100.0"
"I7935750","Leibniz Institute DSMZ – German Collection of Microorganisms and Cell Cultures","Germany","DE","52.21142578125","10.531188011169434","facility","100.0","Europe","100.0"
"I4210108480","Second Affiliated Hospital of Nanchang University","China","CN","28.62301254272461","115.90357208251952","healthcare","100.0","Asia","100.0"
"I4399657950","Tamale Technical University","","","9.400790214538574","-0.8392999768257141","education","","","31.44"
"I2802153510","Norwegian Institute of Marine Research","Norway","NO","60.39299011230469","5.324150085449219","facility","100.0","Europe","100.0"
"I2799285752","Bay Institute","United States","US","37.80623626708984","-122.41191864013672","nonprofit","100.0","North America","100.0"
"I2799345387","Kuwait Petroleum Corporation (Kuwait)","Kuwait","KW","29.35465812683105","47.94166564941406","company","100.0","Asia","100.0"
"I4210106526","Northwest Institute of Eco-Environment and Resources","China","CN","36.0736083984375","103.77750396728516","facility","100.0","Asia","100.0"
"I4210162116","Singapore Clinical Research Institute","Singapore","SG","1.2654789686203003","103.8197021484375","other","813.0","Asia","75.51"
"I192664086","Northeastern State University","United States","US","35.91537094116211","-94.96996307373048","education","555.0","North America","83.31"
"I2800519576","Mubarak Al Kabeer Hospital","Kuwait","KW","29.325855255126957","48.03507614135742","healthcare","100.0","Asia","100.0"
"I4210133257","KPR Institute of Engineering and Technology","India","IN","11.005550384521484","76.96611785888672","education","100.0","Asia","100.0"
"I4210121942","SS&C Technologies (United States)","United States","US","41.85260009765625","-72.6436996459961","company","","North America","2.04"
"I4210156221","Allen Institute for Artificial Intelligence","United States","US","47.60620880126953","-122.33206939697266","nonprofit","100.0","North America","100.0"
"I4210128504","Universidad Europea del Atlántico","Spain","ES","43.4647216796875","-3.8044400215148926","education","298.0","Europe","91.7"
"I212119943","University of Victoria","Canada","CA","48.4359016418457","-123.35154724121094","education","100.0","North America","100.0"
"I1305695959","Bacha Khan University","Pakistan","PK","34.007999420166016","71.5784912109375","education","100.0","Asia","100.0"
"I123466251","Dicle University","Turkey","TR","37.91363143920898","40.21720886230469","education","100.0","Asia","100.0"
"I219193219","Purdue University West Lafayette","United States","US","40.42586898803711","-86.90807342529297","education","95.0","North America","100.0"
"I2801986924","Marine Conservation Institute","United States","US","47.6557731628418","-122.34196472167967","nonprofit","100.0","North America","100.0"
"I28615091","Kyonggi University","South Korea","KR","37.30048751831055","127.03583526611328","education","100.0","Asia","100.0"
"I68435313","Australian Psychological Society","Australia","AU","-37.81617736816406","144.96572875976562","other","165.0","Oceania","96.72"
"I2802535771","Baghdad College of Economic Sciences University","Iraq","IQ","33.3408317565918","44.334720611572266","education","","Asia","20.35"
"I4210143392","University of Pennsylvania Health System","United States","US","39.9523811340332","-75.16361999511719","healthcare","12.0","North America","100.0"
"I1294606314","Beijing Tongren Hospital","China","CN","39.90275955200195","116.41773986816406","healthcare","100.0","Asia","100.0"
"I71437568","Universidade de Pernambuco","Brazil","BR","-8.043869018554688","-34.88603210449219","education","100.0","South America","100.0"
"I4210116052","Inception Institute of Artificial Intelligence","United Arab Emirates","AE","24.500986099243164","54.386661529541016","facility","100.0","Asia","100.0"
"I168337820","Chongqing University of Science and Technology","China","CN","29.56026077270508","106.55770874023438","education","100.0","Asia","100.0"
"I57206974","New York University","United States","US","40.71427154541016","-74.00596618652344","education","39.0","North America","100.0"
"I172780181","University of the Punjab","Pakistan","PK","31.558000564575195","74.3507080078125","education","100.0","Asia","100.0"
"I2800655693","Lyceum of the Philippines University","Philippines","PH","14.60420036315918","120.9822006225586","education","936.0","Asia","71.77"
"I36197038","Taiz University","Yemen","YE","13.583331108093262","43.98594284057617","education","100.0","Asia","100.0"
"I175124709","Süleyman Demirel University","Turkey","TR","37.76443862915039","30.55221939086914","education","100.0","Asia","100.0"
"I4210100893","Indian Institute of Information Technology Vadodara","India","IN","22.299409866333008","73.20812225341797","education","943.0","Asia","71.58"
"I2800024054","Skin Cancer Foundation","United States","US","40.74622344970703","-73.9836654663086","nonprofit","","North America","54.01"
"I267325792","Mizan Tepi University","Ethiopia","ET","7.197319984436035","35.42881393432617","education","100.0","Africa","100.0"
"I40695006","Open Geospatial Consortium","United States","US","38.88100814819336","-77.10427856445312","nonprofit","","North America","59.8"
"I51783024","Brandenburg University of Technology Cottbus-Senftenberg","Germany","DE","51.525169372558594","14.00164031982422","education","100.0","Europe","100.0"
"I137982388","Janssen (Belgium)","Belgium","BE","51.30745697021485","4.875338077545166","company","100.0","Europe","100.0"
"I4210162190","China University of Petroleum, East China","China","CN","36.06488037109375","120.3804168701172","education","100.0","Asia","100.0"
"I4210124307","Ministry of Higher and Tertiary Education","ZW","ZW","-17.823974609375","31.051855087280277","government","","Other","0.47"
"I4210132580","Plymouth Marjon University","United Kingdom","GB","50.37152862548828","-4.143050193786621","education","","Europe","50.68"
"I79620101","University of Arkansas for Medical Sciences","United States","US","34.74647903442383","-92.28958892822266","education","100.0","North America","100.0"
"I1302839792","Indraprastha Apollo Hospitals","India","IN","28.528564453125","77.288330078125","healthcare","100.0","Asia","100.0"
"I4210095226","Universitas Widya Dharma Klaten","Indonesia","ID","-7.691236972808838","110.6242904663086","education","296.0","Asia","91.77"
"I2801919071","University of Illinois System","United States","US","40.11059188842773","-88.20726776123047","education","90.0","North America","100.0"
"I83809506","University of South Alabama","United States","US","30.694360733032227","-88.04305267333984","education","100.0","North America","100.0"
"I32003884","British Heart Foundation","United Kingdom","GB","51.58256912231445","-0.0259789992123842","nonprofit","100.0","Europe","100.0"
"I4210163933","Union Hospital","China","CN","26.07858085632324","119.30445861816406","healthcare","100.0","Asia","100.0"
"I118185606","Aga Khan University","Pakistan","PK","24.86079978942871","67.0103988647461","education","100.0","Asia","100.0"
"I126158947","Universidade Federal da Bahia","Brazil","BR","-12.975629806518556","-38.49095916748047","education","100.0","South America","100.0"
"I83308685","Canadian Light Source (Canada)","Canada","CA","52.13238143920898","-106.6689224243164","company","100.0","North America","100.0"
"I4392738072","CHN Energy (China)","China","CN","39.907501220703125","116.39723205566406","company","","Asia","32.52"
"I26538001","San Diego State University","United States","US","32.7157096862793","-117.16471862792967","education","100.0","North America","100.0"
"I2801824472","Jewish General Hospital","Canada","CA","45.50883865356445","-73.58780670166016","healthcare","100.0","North America","100.0"
"I4210148503","Fraunhofer Institute for Production Systems and Design Technology","Germany","DE","52.52359008789063","13.323590278625488","facility","100.0","Europe","100.0"
"I4210127591","German Centre for Cardiovascular Research","Germany","DE","52.55330657958984","13.36048984527588","facility","100.0","Europe","100.0"
"I144693123","University of Buea","CM","CM","4.1534199714660645","9.2423095703125","education","100.0","Other","100.0"
"I171711596","Romanian-American University","Romania","RO","44.4322509765625","26.106260299682617","education","","Europe","31.95"
"I290407205","Meenakshi Academy of Higher Education and Research","India","IN","13.013999938964844","80.10700225830078","education","100.0","Asia","100.0"
"I90281761","National Aviation University","Ukraine","UA","50.45465850830078","30.523799896240234","education","100.0","Europe","100.0"
"I4210164215","Fundación Universitaria Sanitas","Colombia","CO","4.609710216522217","-74.08174896240234","education","100.0","South America","100.0"
"I4210105141","Biomedical Research Networking Center in Bioengineering, Biomaterials and Nanomedicine","Spain","ES","41.65605926513672","-0.8773400187492371","other","100.0","Europe","100.0"
"I4210156023","Universidad Central de Chile","Chile","CL","-33.456939697265625","-70.64826965332031","education","100.0","South America","100.0"
"I4210092927","NOAA National Severe Storms Laboratory","United States","US","35.22256851196289","-97.43948364257812","government","100.0","North America","100.0"
"I40542001","University of Ulsan","South Korea","KR","35.54277038574219","129.25672912597656","education","100.0","Asia","100.0"
"I31590910","Jianghan University","China","CN","30.583330154418945","114.26667022705078","education","100.0","Asia","100.0"
"I4210163803","Institute for Advanced Study","Germany","DE","53.05110168457031","8.63090991973877","nonprofit","","Europe","34.04"
"I47403697","Instituto Federal de Educação, Ciência e Tecnologia de Santa Catarina","Brazil","BR","-27.59667015075684","-48.54917144775391","education","100.0","South America","100.0"
"I4210096250","Beijing Institute of Big Data Research","China","CN","39.98691177368164","116.3036880493164","facility","100.0","Asia","100.0"
"I25399158","Mahidol University","Thailand","TH","13.793405532836914","100.32251739501952","education","100.0","Asia","100.0"
"I43480833","Kyambogo University","Uganda","UG","0.3162800073623657","32.58219146728516","education","100.0","Africa","100.0"
"I143302722","University of Kentucky","United States","US","37.98868942260742","-84.47772216796875","education","100.0","North America","100.0"
"I4210139445","Khorramshahr University of Marine Science and Technology","Iran","IR","30.4407901763916","48.18428039550781","education","787.0","Asia","76.28"
"I1320553840","Amgen (United States)","United States","US","34.17055892944336","-118.83759307861328","company","100.0","North America","100.0"
"I4210141098","St. Helena Hospital","United States","US","38.54283142089844","-122.47518157958984","healthcare","","North America","43.29"
